week,day,hour,visits,day_number
1,1,hour_0,0.0,1
1,1,hour_1,0.0,1
1,1,hour_2,0.0,1
1,1,hour_3,0.0,1
1,1,hour_4,0.0,1
1,1,hour_5,0.0,1
1,1,hour_6,0.0,1
1,1,hour_7,0.0,1
1,1,hour_8,0.0,1
1,1,hour_9,0.0,1
1,1,hour_10,0.0,1
1,1,hour_11,0.0,1
1,1,hour_12,0.0,1
1,1,hour_13,0.0,1
1,1,hour_14,0.0,1
1,1,hour_15,0.0,1
1,1,hour_16,0.0,1
1,1,hour_17,0.0,1
1,1,hour_18,0.0,1
1,1,hour_19,0.0,1
1,1,hour_20,0.0,1
1,1,hour_21,0.0,1
1,1,hour_22,0.0,1
1,1,hour_23,0.0,1
1,2,hour_0,0.0,2
1,2,hour_1,0.0,2
1,2,hour_2,0.0,2
1,2,hour_3,0.0,2
1,2,hour_4,0.0,2
1,2,hour_5,0.0,2
1,2,hour_6,0.0,2
1,2,hour_7,0.0,2
1,2,hour_8,0.0,2
1,2,hour_9,0.0,2
1,2,hour_10,0.0,2
1,2,hour_11,0.0,2
1,2,hour_12,0.0,2
1,2,hour_13,0.0,2
1,2,hour_14,0.0,2
1,2,hour_15,0.0,2
1,2,hour_16,0.0,2
1,2,hour_17,0.0,2
1,2,hour_18,0.0,2
1,2,hour_19,0.0,2
1,2,hour_20,0.0,2
1,2,hour_21,0.0,2
1,2,hour_22,0.0,2
1,2,hour_23,0.0,2
1,3,hour_0,0.0,3
1,3,hour_1,0.0,3
1,3,hour_2,0.0,3
1,3,hour_3,0.0,3
1,3,hour_4,0.0,3
1,3,hour_5,0.0,3
1,3,hour_6,0.0,3
1,3,hour_7,0.0,3
1,3,hour_8,0.0,3
1,3,hour_9,0.0,3
1,3,hour_10,0.0,3
1,3,hour_11,0.0,3
1,3,hour_12,0.0,3
1,3,hour_13,0.0,3
1,3,hour_14,0.0,3
1,3,hour_15,0.0,3
1,3,hour_16,0.0,3
1,3,hour_17,0.0,3
1,3,hour_18,0.0,3
1,3,hour_19,0.0,3
1,3,hour_20,0.0,3
1,3,hour_21,0.0,3
1,3,hour_22,0.0,3
1,3,hour_23,0.0,3
1,4,hour_0,0.0,4
1,4,hour_1,0.0,4
1,4,hour_2,0.0,4
1,4,hour_3,0.0,4
1,4,hour_4,0.0,4
1,4,hour_5,0.0,4
1,4,hour_6,0.0,4
1,4,hour_7,0.0,4
1,4,hour_8,0.0,4
1,4,hour_9,0.0,4
1,4,hour_10,0.0,4
1,4,hour_11,0.0,4
1,4,hour_12,0.0,4
1,4,hour_13,0.0,4
1,4,hour_14,0.0,4
1,4,hour_15,0.0,4
1,4,hour_16,0.0,4
1,4,hour_17,0.0,4
1,4,hour_18,0.0,4
1,4,hour_19,0.0,4
1,4,hour_20,0.0,4
1,4,hour_21,0.0,4
1,4,hour_22,0.0,4
1,4,hour_23,0.0,4
1,5,hour_0,0.0,5
1,5,hour_1,0.0,5
1,5,hour_2,0.0,5
1,5,hour_3,0.0,5
1,5,hour_4,0.0,5
1,5,hour_5,0.0,5
1,5,hour_6,0.0,5
1,5,hour_7,0.0,5
1,5,hour_8,0.0,5
1,5,hour_9,0.0,5
1,5,hour_10,0.0,5
1,5,hour_11,0.0,5
1,5,hour_12,0.0,5
1,5,hour_13,0.0,5
1,5,hour_14,0.0,5
1,5,hour_15,0.0,5
1,5,hour_16,0.0,5
1,5,hour_17,0.0,5
1,5,hour_18,0.0,5
1,5,hour_19,0.0,5
1,5,hour_20,0.0,5
1,5,hour_21,0.0,5
1,5,hour_22,0.0,5
1,5,hour_23,0.0,5
1,6,hour_0,0.0,6
1,6,hour_1,0.0,6
1,6,hour_2,0.0,6
1,6,hour_3,0.0,6
1,6,hour_4,0.0,6
1,6,hour_5,0.0,6
1,6,hour_6,0.0,6
1,6,hour_7,0.0,6
1,6,hour_8,0.0,6
1,6,hour_9,0.0,6
1,6,hour_10,0.0,6
1,6,hour_11,0.0,6
1,6,hour_12,0.0,6
1,6,hour_13,0.0,6
1,6,hour_14,0.0,6
1,6,hour_15,0.0,6
1,6,hour_16,0.0,6
1,6,hour_17,0.0,6
1,6,hour_18,0.0,6
1,6,hour_19,0.0,6
1,6,hour_20,0.0,6
1,6,hour_21,0.0,6
1,6,hour_22,0.0,6
1,6,hour_23,0.0,6
1,7,hour_0,0.0,7
1,7,hour_1,0.0,7
1,7,hour_2,0.0,7
1,7,hour_3,0.0,7
1,7,hour_4,0.0,7
1,7,hour_5,0.0,7
1,7,hour_6,0.0,7
1,7,hour_7,0.0,7
1,7,hour_8,0.0,7
1,7,hour_9,0.0,7
